=========================
Malone University - Parkinson's VR Training
TEST OCCURED ON 1/14/2021 5:37:04 PM
=========================
eventName,elapsedTime,wasCorrect,providedAnswers,questionScore
4.) a. Pickup Phone,2.61,n/a,n/a,n/a
5.) b. Vocalize to Doctor,0.42,n/a,n/a,n/a
7.) d. Return Phone,0.51,n/a,n/a,n/a
8.) c. Turn on gauge,0.33,n/a,n/a,n/a
9.) 3. Identify Patient via ID Bracelet,0.36,n/a,n/a,n/a
10.) i. Pick up Syringe,0.6,n/a,n/a,n/a
11.) ii. Unscrew Cap,0.22,n/a,n/a,n/a
14.) v. Re-screw Cap,0.22,n/a,n/a,n/a
15.) vi. Unscrew Cap,0.29,n/a,n/a,n/a
18.) ix. Re-screw Cap,0.27,n/a,n/a,n/a
21.) xi. Return Syringe,0.29,n/a,n/a,n/a
22.) xii. Other Times(According to the HCP instructions/ when else should we medicate Mr. Minor?),0.63,False,none,3
24.) b. Question(As the nurse/ what is your best response to this order?),1.08,True,Check with a pharmacist first;,1
