=========================
Malone University - Parkinson's VR Training
TEST OCCURED ON 1/14/2021 5:34:12 PM
=========================
eventName,elapsedTime,wasCorrect,providedAnswers,questionScore
4.) a. Pickup Phone,7.76,n/a,n/a,n/a
5.) b. Vocalize to Doctor,0.48,n/a,n/a,n/a
7.) d. Return Phone,2.23,n/a,n/a,n/a
8.) c. Turn on gauge,1.11,n/a,n/a,n/a
9.) 3. Identify Patient via ID Bracelet,0.65,n/a,n/a,n/a
10.) i. Pick up Syringe,0.58,n/a,n/a,n/a
11.) ii. Unscrew Cap,0.47,n/a,n/a,n/a
14.) v. Re-screw Cap,0.51,n/a,n/a,n/a
15.) vi. Unscrew Cap,0.38,n/a,n/a,n/a
18.) ix. Re-screw Cap,0.37,n/a,n/a,n/a
21.) xi. Return Syringe,0.67,n/a,n/a,n/a
22.) xii. Other Times(According to the HCP instructions/ when else should we medicate Mr. Minor?),5.94,False,7:30am;,3
24.) b. Question(As the nurse/ what is your best response to this order?),3.52,True,Check with a pharmacist first;,1
