=========================
Malone University - Parkinson's VR Training
TEST OCCURED ON 1/27/2021 3:15:41 PM
=========================
eventName,elapsedTime,wasCorrect,providedAnswers,questionScore
0.) c. Switch to left pointer,3,n/a,n/a,n/a
0.) d. Switch to right pointer,2.8,n/a,n/a,n/a
0.) 3. Pick Up Cube,7.28,n/a,n/a,n/a
0.) 4. Deliver Cube,3.8,n/a,n/a,n/a
0.) 5. Locate Targets,8.31,n/a,n/a,n/a
0.) 6. Microphone Test,8.72,n/a,n/a,n/a
0.) 7. Sample Question(Lastly/ let's have you answer some sample questions to get used to the Info Board. Which of the following are US states?),1.91,False,Ohio;California;Germany;Wyoming;,0.67
0.) 8. Pick Up Clipboard,8.47,n/a,n/a,n/a
0.) a. Open Clipboard,4.77,n/a,n/a,n/a
0.) b. Switch clipboard hand,4.47,n/a,n/a,n/a
