=========================
Malone University - Parkinson's VR Training
TEST OCCURED ON 1/14/2021 5:54:58 PM
=========================
eventName,elapsedTime,wasCorrect,providedAnswers,questionScore
4.) a. Pickup Phone,1.49,n/a,n/a,n/a
5.) b. Vocalize to Doctor,0.22,n/a,n/a,n/a
7.) d. Return Phone,0.15,n/a,n/a,n/a
8.) c. Turn on gauge,0.2,n/a,n/a,n/a
9.) 3. Identify Patient via ID Bracelet,0.17,n/a,n/a,n/a
10.) i. Pick up Syringe,0.16,n/a,n/a,n/a
11.) ii. Unscrew Cap,0.2,n/a,n/a,n/a
14.) v. Re-screw Cap,0.36,n/a,n/a,n/a
15.) vi. Unscrew Cap,0.4,n/a,n/a,n/a
18.) ix. Re-screw Cap,0.38,n/a,n/a,n/a
21.) xi. Return Syringe,0.37,n/a,n/a,n/a
22.) xii. Other Times(According to the HCP instructions/ when else should we medicate Mr. Minor?),7.16,False,none,0
24.) b. Question(As the nurse/ what is your best response to this order?),2.94,False,Repeat the dose if ineffective;,0
