=========================
Malone University - Parkinson's VR Training
TEST OCCURED ON 1/14/2021 5:51:52 PM
=========================
eventName,elapsedTime,wasCorrect,providedAnswers,questionScore
4.) a. Pickup Phone,0.21,n/a,n/a,n/a
5.) b. Vocalize to Doctor,0.23,n/a,n/a,n/a
7.) d. Return Phone,0.14,n/a,n/a,n/a
8.) c. Turn on gauge,0.16,n/a,n/a,n/a
9.) 3. Identify Patient via ID Bracelet,0.18,n/a,n/a,n/a
10.) i. Pick up Syringe,0.29,n/a,n/a,n/a
11.) ii. Unscrew Cap,0.22,n/a,n/a,n/a
14.) v. Re-screw Cap,0.18,n/a,n/a,n/a
15.) vi. Unscrew Cap,0.17,n/a,n/a,n/a
18.) ix. Re-screw Cap,0.29,n/a,n/a,n/a
21.) xi. Return Syringe,0.6,n/a,n/a,n/a
22.) xii. Other Times(According to the HCP instructions/ when else should we medicate Mr. Minor?),12.98,False,7:30am;11:30am;12:30pm;4:00pm;,0.67
24.) b. Question(As the nurse/ what is your best response to this order?),1.4,False,none,0
