=========================
Malone University - Parkinson's VR Training
TEST OCCURED ON 1/12/2021 3:06:39 PM
=========================
eventName,elapsedTime,wasCorrect,providedAnswers,questionScore
1.) c. Switch to left pointer,2.76,n/a,n/a,n/a
2.) d. Switch to right pointer,2.37,n/a,n/a,n/a
0.) 3. Pick Up Cube,3.81,n/a,n/a,n/a
0.) 4. Deliver Cube,2.62,n/a,n/a,n/a
0.) 5. Locate Targets,5.61,n/a,n/a,n/a
0.) 6. Microphone Test,4.78,n/a,n/a,n/a
 - Elapsed Time: 0.94 seconds
0.) 7. Sample Question(Lastly/ let's have you answer some sample questions to get used to the Info Board. Which of the following are US states?),0.94,False,,3
0.) 8. Pick Up Clipboard,5.22,n/a,n/a,n/a
0.) a. Open Clipboard,3.19,n/a,n/a,n/a
0.) b. Switch clipboard hand,2.89,n/a,n/a,n/a
0.) c. Switch clipboard hand again,2.37,n/a,n/a,n/a
0.) d. Close Clipboard,3.22,n/a,n/a,n/a
0.) a. Click to Start,2.68,n/a,n/a,n/a
