=========================
Malone University - Parkinson's VR Training
TEST OCCURED ON 1/27/2021 3:17:28 PM
=========================
eventName,elapsedTime,wasCorrect,providedAnswers,questionScore
0.) c. Switch to left pointer,0.19,n/a,n/a,n/a
0.) d. Switch to right pointer,0.18,n/a,n/a,n/a
0.) 3. Pick Up Cube,0.7,n/a,n/a,n/a
0.) 4. Deliver Cube,0.19,n/a,n/a,n/a
0.) 5. Locate Targets,0.17,n/a,n/a,n/a
0.) 6. Microphone Test,0.19,n/a,n/a,n/a
0.) 8. Pick Up Clipboard,5.07,n/a,n/a,n/a
0.) a. Open Clipboard,5.6,n/a,n/a,n/a
0.) b. Switch clipboard hand,2.58,n/a,n/a,n/a
0.) c. Switch clipboard hand again,4.18,n/a,n/a,n/a
0.) d. Close Clipboard,3.43,n/a,n/a,n/a
0.) a. Click to Start,3.79,n/a,n/a,n/a
