=========================
Malone University - Parkinson's VR Training
TEST OCCURED ON 1/14/2021 5:39:46 PM
=========================
eventName,elapsedTime,wasCorrect,providedAnswers,questionScore
4.) a. Pickup Phone,2.59,n/a,n/a,n/a
5.) b. Vocalize to Doctor,0.74,n/a,n/a,n/a
7.) d. Return Phone,0.36,n/a,n/a,n/a
8.) c. Turn on gauge,0.25,n/a,n/a,n/a
9.) 3. Identify Patient via ID Bracelet,0.26,n/a,n/a,n/a
10.) i. Pick up Syringe,0.19,n/a,n/a,n/a
11.) ii. Unscrew Cap,0.18,n/a,n/a,n/a
14.) v. Re-screw Cap,0.45,n/a,n/a,n/a
15.) vi. Unscrew Cap,0.44,n/a,n/a,n/a
18.) ix. Re-screw Cap,52.09,n/a,n/a,n/a
21.) xi. Return Syringe,0.4,n/a,n/a,n/a
22.) xii. Other Times(According to the HCP instructions/ when else should we medicate Mr. Minor?),5.49,False,none,3
