=========================
Malone University - Parkinson's VR Training
TEST OCCURED ON 3/3/2021 3:35:34 PM
=========================
eventName,elapsedTime,wasCorrect,providedAnswers,questionScore
0.) c. Switch to left pointer,3.02,n/a,n/a,n/a
0.) d. Switch to right pointer,2.69,n/a,n/a,n/a
0.) 3. Pick Up Cube,31.77,n/a,n/a,n/a
0.) 4. Deliver Cube,9.01,n/a,n/a,n/a
0.) 5. Locate Targets,6.06,n/a,n/a,n/a
0.) 6. Microphone Test,5.24,n/a,n/a,n/a
0.) 7. Sample Question(Lastly/ let's have you answer some sample questions to get used to the Info Board. Which of the following are US states?),3.09,False,Wyoming;,0.33
0.) 8. Pick Up Clipboard,17.56,n/a,n/a,n/a
0.) a. Open Clipboard,3.3,n/a,n/a,n/a
0.) b. Switch clipboard hand,9.43,n/a,n/a,n/a
0.) c. Switch clipboard hand again,2.79,n/a,n/a,n/a
0.) d. Close Clipboard,3.54,n/a,n/a,n/a
0.) a. Click to Start,3.26,n/a,n/a,n/a
