=========================
Malone University - Parkinson's VR Training
TEST OCCURED ON 1/14/2021 5:50:36 PM
=========================
eventName,elapsedTime,wasCorrect,providedAnswers,questionScore
4.) a. Pickup Phone,0.18,n/a,n/a,n/a
5.) b. Vocalize to Doctor,0.24,n/a,n/a,n/a
7.) d. Return Phone,0.13,n/a,n/a,n/a
8.) c. Turn on gauge,0.18,n/a,n/a,n/a
9.) 3. Identify Patient via ID Bracelet,0.18,n/a,n/a,n/a
4.) a. Pickup Phone,0.18,n/a,n/a,n/a
5.) b. Vocalize to Doctor,0.22,n/a,n/a,n/a
7.) d. Return Phone,0.16,n/a,n/a,n/a
8.) c. Turn on gauge,0.39,n/a,n/a,n/a
9.) 3. Identify Patient via ID Bracelet,0.29,n/a,n/a,n/a
10.) i. Pick up Syringe,0.67,n/a,n/a,n/a
11.) ii. Unscrew Cap,0.62,n/a,n/a,n/a
14.) v. Re-screw Cap,0.85,n/a,n/a,n/a
15.) vi. Unscrew Cap,0.69,n/a,n/a,n/a
18.) ix. Re-screw Cap,1.42,n/a,n/a,n/a
21.) xi. Return Syringe,0.74,n/a,n/a,n/a
22.) xii. Other Times(According to the HCP instructions/ when else should we medicate Mr. Minor?),13.92,False,7:30am;11:30am;12:30pm;4:00pm;,0
